object,weather
Cases,4791
CaseNo,Year,Month,Day,Hour,AirTemp,Wind,Sun,Tdp,Lat,Long
1,1986,1,1,1,-12.2,2.6,10,-16.1,41.983,-87.917
2,1986,1,1,2,-11.7,2.6,0,-15.6,41.983,-87.917
3,1986,1,1,3,-11.1,2.1,0,-15,41.983,-87.917
4,1986,1,1,4,-11.1,2.6,0,-15,41.983,-87.917
5,1986,1,1,5,-10.6,2.6,0,-14.4,41.983,-87.917
6,1986,1,1,6,-10.6,2.6,0,-14.4,41.983,-87.917
7,1986,1,1,7,-10.6,3.1,0,-13.9,41.983,-87.917
8,1986,1,1,8,-10,2.6,20,-13.3,41.983,-87.917
9,1986,1,1,9,-8.9,3.1,100,-13.3,41.983,-87.917
10,1986,1,1,10,-6.7,5.7,80,-13.3,41.983,-87.917
11,1986,1,1,11,-5,5.7,100,-11.1,41.983,-87.917
12,1986,1,1,12,-3.3,5.7,40,-9.4,41.983,-87.917
13,1986,1,1,13,-2.2,5.2,0,-8.3,41.983,-87.917
14,1986,1,1,14,-1.1,4.1,0,-7.8,41.983,-87.917
15,1986,1,1,15,-1.1,3.1,10,-7.2,41.983,-87.917
16,1986,1,1,16,-1.1,1.5,0,-6.1,41.983,-87.917
17,1986,1,1,17,-1.1,0,0,-6.1,41.983,-87.917
18,1986,1,1,18,-1.7,0,0,-6.1,41.983,-87.917
19,1986,1,1,19,-2.2,2.1,0,-6.1,41.983,-87.917
20,1986,1,1,20,-1.1,2.6,0,-5.6,41.983,-87.917
21,1986,1,1,21,-1.7,0,0,-5,41.983,-87.917
22,1986,1,1,22,-1.1,2.6,0,-5,41.983,-87.917
23,1986,1,1,23,-1.7,2.6,40,-5,41.983,-87.917
24,1986,1,1,0,-1.7,2.6,70,-6.1,41.983,-87.917
25,1986,1,2,1,-3.9,2.1,80,-6.1,41.983,-87.917
26,1986,1,2,2,-2.8,3.1,60,-6.1,41.983,-87.917
27,1986,1,2,3,-3.3,2.6,80,-6.7,41.983,-87.917
28,1986,1,2,4,-2.8,2.1,20,-6.1,41.983,-87.917
29,1986,1,2,5,-1.1,3.6,0,-5.6,41.983,-87.917
30,1986,1,2,6,-1.1,3.1,0,-5.6,41.983,-87.917
31,1986,1,2,7,-0.6,2.6,0,-5.6,41.983,-87.917
32,1986,1,2,8,-0.6,2.6,0,-5.6,41.983,-87.917
33,1986,1,2,9,0,3.6,0,-5,41.983,-87.917
34,1986,1,2,10,0.6,3.6,0,-5,41.983,-87.917
35,1986,1,2,11,1.7,3.6,0,-5,41.983,-87.917
36,1986,1,2,12,1.7,2.1,0,-4.4,41.983,-87.917
37,1986,1,2,13,1.7,0,0,-3.9,41.983,-87.917
38,1986,1,2,14,0,2.6,0,-1.1,41.983,-87.917
39,1986,1,2,15,-0.6,2.1,0,-1.1,41.983,-87.917
40,1986,1,2,16,0.6,3.6,0,-1.1,41.983,-87.917
41,1986,1,2,17,0.6,7.7,0,-0.6,41.983,-87.917
42,1986,1,2,18,-0.6,3.1,0,-0.6,41.983,-87.917
43,1986,1,2,19,0.6,3.6,0,-0.6,41.983,-87.917
44,1986,1,2,20,1.1,3.6,0,-0.6,41.983,-87.917
45,1986,1,2,21,1.7,4.1,0,0,41.983,-87.917
46,1986,1,2,22,2.2,3.1,0,0.6,41.983,-87.917
47,1986,1,2,23,0,0,0,-0.6,41.983,-87.917
48,1986,1,2,0,0,2.6,0,-0.6,41.983,-87.917
